CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
CP05202	Bed linen	Linge de lit	Bettwäsche	Y	
CP05202A	Duvet (1 piece)	Couette (1 pièce)	Federbettdecke (1 Stück)	Y	
CP05202B	Bedlinen (1 set)	Linge de lit (1 ensemble)	Bettwäsche (1 Satz)	Y	
CP05202C	Blanket (1 piece)	Couverture (1 pièce)	Decke (1 Stück)	Y	
CP05203	Table linen and bathroom linen	Linge de table et linge de toilette	Tischwäsche und Handtücher	Y	
CP05203A	Towel (1 piece)	Serviette de bain (1 pièce)	Handtuch (1 Stück)	Y	
CP05204	Repair of household textiles	Réparation d'articles de ménage en textiles	Reparatur von Heimtextilien	Y	
CP05209	Other household textiles	Autres articles de maison en textile	Sonstige Heimtextilien	Y	
CP053	Household appliances	Appareils ménagers	Haushaltsgeräte	Y	
CP0531_0532	Major household appliances whether electric or not and small electric household appliances	Gros appareils ménagers électriques ou non et petits appareils électroménagers	Elektrische und nichtelektrische Haushalts-Großgeräte sowie elektrische Haushalts-Kleingeräte	Y	
CP0531	Major household appliances whether electric or not	Gros appareils ménagers électriques ou non	Elektrische und nichtelektrische Haushalts-Großgeräte	Y	
CP05311	Refrigerators, freezers and fridge-freezers	Réfrigérateurs, congélateurs et réfrigérateurs-congélateurs	Kühlschränke, Gefrierschränke und kombinierte Kühl- und Gefriergeräte	Y	
CP05311A	Refrigerator, undercounter, with freezer (1 piece)	Réfrigérateur sous plan, avec congélateur (1 pièce)	Einbaukühlschrank, mit Gefrierfach (1 Stück)	Y	
CP05311A1	Refrigerator, undercounter, with freezer, energy efficiency A/A+ (1 piece)	Réfrigérateur sous plan, avec congélateur, efficacité énergétique A/A+ (1 pièce)	Einbaukühlschrank, mit Gefrierfach, Energieeffizienz A/A+ (1 Stück)	Y	
CP05311A2	Refrigerator, undercounter, with freezer, energy efficiency A+/A++ (1 piece)	Réfrigérateur sous plan, avec congélateur, efficacité énergétique A+/A++ (1 pièce)	Einbaukühlschrank, mit Gefrierfach, Energieeffizienz A+/A++ (1 Stück)	Y	
CP05311B1	Fridge-freezer, energy efficiency A (1 piece)	Réfrigérateur-congélateur, efficacité énergétique A (1 pièce)	Kühl-Gefrierkombination, Energieeffizienz A (1 Stück)	Y	
