CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
TOTAL	Total	Total	Insgesamt	Y	
TOT_X_CP041_042	Total except actual rents	Total sauf les loyers réels	Insgesamt ohne tatsächlich gezahlte Mieten	Y	
CP00_X_042	All items HICP excluding imputed rentals for housing	Ensemble ICPH excluant le loyer d'habitation imputés	Gesamt-HVPI ohne Unterstellte Mieten für Wohnungen	Y	
CP00	All-items HICP	Ensemble ICPH	Gesamt-HVPI	Y	
CP01	Food and non-alcoholic beverages	Produits alimentaires et boissons non alcoolisées	Nahrungsmittel und alkoholfreie Getränke	Y	
CP011	Food	Produits alimentaires	Nahrungsmittel	Y	
CP0111	Bread and cereals	Pain et céréales	Brot und Getreideerzeugnisse	Y	
CP01111	Rice	Riz	Reis	Y	
CP01111A	Long-grain rice (1 kg)	Riz à grains longs (1 kg)	Langkornreis (1 kg)	Y	
CP01112	Flours and other cereals	Farines et autres céréales	Mehl und anderes Getreide	Y	
CP01112A	Wheat flour (1 kg)	Farine de blé (1 kg)	Weizenmehl (1 kg)	Y	
CP01112B	Cornflakes (1 kg)	Flocons de maïs (1 kg)	Cornflakes (1 kg)	Y	
CP01113	Bread	Pain	Brot	Y	
CP01113A	White bread, loaf (1 kg)	Pain blanc, miche (1 kg)	Weißbrot, Laib (1 kg)	Y	
CP01114	Other bakery products	Autres produits de boulangerie	Feingebäck	Y	
CP01115	Pizza and quiche	Pizza et quiche	Pizza und Quiche	Y	
CP01115A	Pizza, frozen (500 g)	Pizza surgelée (500 g)	Pizza, gefroren (500 g)	Y	
CP01116	Pasta products and couscous	Pâtes alimentaires et couscous	Teigwaren und Couscous	Y	
CP01116A	Pasta, without eggs (1 kg)	Pâtes, sans oeufs (1 kg)	Nudeln, ohne Eier (1 kg)	Y	
CP01117	Breakfast cereals	Céréales pour petit déjeuner	Frühstücksflocken	Y	
CP01118	Other cereal products	Autres produits céréaliers	Sonstige Getreideerzeugnisse	Y	
CP0112	Meat	Viande	Fleisch	Y	
CP01121	Beef and veal	Boeuf et veau	Rind und Kalb	Y	
CP01121A	Beef, minced (1 kg)	Boeuf haché (1 kg)	Hackfleisch (Rind) (1 kg)	Y	
CP01122	Pork	Porc	Schwein	Y	
CP01122A	Pork, cutlet ("escalope") (1 kg)	Escalope de porc (1 kg)	Schweineschnitzel (1 kg)	Y	
CP01122B	Pork, loin chop (B2) (1 kg)	Côtelette de porc (1 kg)	Schweinefleisch, Kotelett (1kg)	Y	
CP01123	Lamb and goat	Agneau et chèvre	Schaf und Ziege	Y	
CP01124	Poultry	Volaille	Geflügel	Y	
CP01124A	Whole chicken (1 kg)	Poulet entier (1 kg)	Ganzes Hähnchen (1 kg)	Y	
CP01124B	Chicken breast, fillets (1 kg)	Filets de poitrine de poulet (1 kg)	Hähnchenbrustfilet (1 kg)	Y	
CP01125	Other meats	Autres viandes	Sonstiges Fleisch	Y	
CP01126_01127	Dried, salted or smoked meat and edible meat offal	Viande séchée, salée ou fumée et abats comestibles	Fleisch und eßbare Fleischabfälle, getrocknet, gesalzen oder geräuchert	Y	
CP01126	Edible offal	Abats comestibles	Eßbare Fleischabfälle	Y	
CP01127	Dried, salted or smoked meat	Viande séchée, salée ou fumée	Fleisch: getrocknet, gesalzen oder geräuchert	Y	
CP01127A	Sausage, Frankfurter/Wiener (1 kg)	Saucisse de Francfort/Viennoise (1 kg)	Würstchen, Frankfurter/Wiener (1 kg)	Y	
CP01127B	Sausage, salami type (1 kg)	Saucisse de type salami (1 kg)	Wurst Typ Salami (1 kg)	Y	
CP01128	Other meat preparations	Autres préparations à base de viande	Sonstige Fleischzubereitungen	Y	
CP01128A	Other preserved or processed meat and meat preparations	Autres conserves ou préparations à base de viande	Fleisch und Fleischzubereitungen, anders konserviert oder verarbeitet	Y	
CP01128B	Other fresh, chilled or frozen edible meat	Autres viandes comestibles fraîches, réfrigérées ou surgelées	Sonstiges frisches, gekühltes oder gefrorenes eßbares Fleisch	Y	
CP0113	Fish and seafood	Poisson et fruits de mer	Fisch und Meeresfrüchte	Y	
CP01131_01132	Fresh, chilled or frozen fish	Poisson frais, réfrigéré ou surgelé	Fisch, frisch, gekühlt oder gefroren	Y	
CP01131	Fresh or chilled fish	Poisson frais ou réfrigéré	Fisch: frisch oder gekühlt	Y	
CP01131A	Salmon, steak (1 kg)	Darne de saumon (1 kg)	Lachssteak (1 kg)	Y	
CP01132	Frozen fish	Poisson surgelé	Gefrorener Fisch	Y	
CP01133_01134	Fresh, chilled or frozen seafood	Fruits de mer frais, réfrigérés ou surgelés	Schalentiere, Weichtiere und Frösche, frisch, gekühlt oder gefroren	Y	
CP01133	Fresh or chilled seafood	Fruits de mer frais ou réfrigérés	Schalentiere, Weichtiere und Frösche: frisch oder gekühlt	Y	
CP01134	Frozen seafood	Fruits de mer surgelés	Schalentiere, Weichtiere und Frösche: gefroren	Y	
CP01135	Dried, smoked or salted fish and seafood	Poissons et fruits de mer séchés, fumés ou salés	Fisch, Schalentiere, Weichtiere und Frösche, getrocknet, geräuchert oder gesalzen	Y	
CP01136	Other preserved or processed fish and seafood and fish and seafood preparations	Autres conserves ou préparations à base de poisson et de fruits de mer	Fisch, Schalentiere, Weichtiere und Frösche sowie deren Zubereitungen, anders konserviert oder verarbeitet	Y	
CP01136A	Tinned pink tuna (1 kg/net)	Thon rose en conserve (1 kg/net)	Rosa Thunfisch in Dosen (1 kg/Nettogewicht)	Y	
CP01136B	Fish fingers (500 g)	Bâtonnets de poisson (500 g)	Fischstäbchen (500 g)	Y	
CP0114	Milk, cheese and eggs	Lait, fromages et oeufs	Milch, Käse und Eier	Y	
CP01141	Fresh whole milk	Lait frais entier	Frische Vollmilch	Y	
CP01141A	Milk, fresh, unskimmed (1 l)	Lait frais entier (1 l)	Frische Vollmilch (1 l)	Y	
CP01142	Fresh low fat milk	Lait écrémé et demi écrémé	Frische Magermilch	Y	
CP01143	Preserved milk	Lait de conserve	Dauermilch	Y	
CP01144	Yoghurt	Yaourt	Joghurt	Y	
CP01144A	Natural yoghurt (1 kg/l)	Yaourt nature (1 kg/l)	Naturjoghurt (1 kg/l)	Y	
CP01144B	Fruit yoghurt (1 kg/l)	Yaourt aux fruits (1 kg/l)	Fruchtjoghurt (1 kg/l)	Y	
CP01145	Cheese and curd	Fromage et lait caillé	Käse und Quark	Y	
CP01145A	Cheese, Camembert type (1 kg)	Fromage de type Camembert (1 kg)	Käse, Typ Camembert  (1 kg)	Y	
CP01145B	Cheese, Gouda type (1 kg)	Fromage de type Gouda (1 kg)	Käse, Typ Gouda (1 kg)	Y	
CP01145C	Cream cheese (200 g)	Fromage frais à tartiner (200 g)	Frischkäse (200 g)	Y	
CP01146	Other milk products	Autres produits laitiers	Sonstige Milchprodukte	Y	
CP01147	Eggs	Oeufs	Eier	Y	
CP01147A	Chicken eggs (10 eggs)	Oeufs de poule (10 oeufs)	Hühnereier (10 Stück)	Y	
CP0115	Oils and fats	Huiles et graisses	Öle und Fette	Y	
CP01151	Butter	Beurre	Butter	Y	
CP01151A	Butter, unsalted (250 g)	Beurre, non salé (250 g)	Butter, ungesalzen (250 g)	Y	
CP01152	Margarine and other vegetable fats	Margarine et autres graisses végétales	Margarine und andere pflanzliche Fette	Y	
CP01152A	Margarine (250 g)	Margarine (250 g)	Margarine (250 g)	Y	
CP01153	Olive oil	Huile d'olive	Olivenöl	Y	
CP01153A	Olive oil (1 l)	Huile d'olive (1 l)	Olivenöl (1 l)	Y	
CP01154	Other edible oils	Autres huiles alimentaires	Sonstige Speiseöle	Y	
CP01154A	Vegetable oil (1 l)	Huile végétale (1 l)	Pflanzenöl (1 l)	Y	
CP01155	Other edible animal fats	Autres graisses animales alimentaires	Sonstige tierische Speisefette	Y	
CP0116	Fruit	Fruits	Obst	Y	
CP0116A	Citrus fruits (fresh, chilled or frozen)	Agrumes (frais, réfrigérés ou congelés)	Zitrusfrüchte, frisch, gekühlt oder gefroren	Y	
CP0116B	Bananas (fresh, chilled or frozen)	Bananes (fraîches, réfrigérées ou congelées)	Bananen, frisch, gekühlt oder gefroren	Y	
CP0116C	Apples (fresh, chilled or frozen)	Pommes (fraîches, réfrigérées ou congelées)	Äpfel, frisch, gekühlt oder gefroren	Y	
CP0116D	Pears (fresh, chilled or frozen)	Poires (fraîches, réfrigérées ou congelées)	Birnen, frisch, gekühlt oder gefroren	Y	
CP0116E	Stone fruits (fresh, chilled or frozen)	Fruits à noyaux (frais, réfrigérés ou congelés)	Steinobst, frisch, gekühlt oder gefroren	Y	
CP0116F	Berries (fresh, chilled or frozen)	Baies (fraîches, réfrigérées ou congelées)	Beeren, frisch, gekühlt oder gefroren	Y	
CP0116G	Other fresh, chilled or frozen fruits	Autres fruits frais, réfrigérés ou congelés	Sonstiges Obst, frisch, gekühlt oder gefroren	Y	
CP01161	Fresh or chilled fruit	Fruits frais ou réfrigérés	Frisches oder gekühltes Obst	Y	
CP01161A	Apples (1 kg)	Pommes (1 kg)	Äpfel (1 kg)	Y	
CP01161B	Fresh bananas (1 kg)	Bananes fraîches (1 kg)	Frische Bananen (1 kg)	Y	
CP01162	Frozen fruit	Fruits surgelés	Gefrorenes Obst	Y	
CP01163	Dried fruit and nuts	Fruits séchés et fruits à coque	Trockenobst und Nüsse	Y	
CP01164	Preserved fruit and fruit-based products	Fruits en conserve et produits à base de fruits	Obst und obstbasierte Erzeugnisse, anders konserviert	Y	
CP01164A	Canned fruit (1 kg/net)	Fruits en conserve (1 kg/net)	Dosenobst (1 kg/Nettogewicht)	Y	
CP0117	Vegetables	Légumes	Gemüse	Y	
CP0117A	Leaf and stem vegetables (fresh, chilled or frozen)	Légumes à feuilles et à tiges (frais, réfrigérés ou congelés)	Blatt- und Stielgemüse, frisch, gekühlt oder gefroren	Y	
CP0117B	Cabbages (fresh or chilled)	Choux (frais ou réfrigérés)	Kohl, frisch oder gekühlt	Y	
CP0117C	Vegetable grown for their fruit (fresh, chilled or frozen)	Légumes cultivés pour leurs fruits (frais, réfrigérés ou congelés)	Fruchtgemüse, frisch, gekühlt oder gefroren	Y	
CP0117D	Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)	Racines alimentaires, racines non amylacées et champignons (frais, réfrigérés ou congelés)	Knollenfrüchte, nicht stärkehaltige Zwiebeln und Pilze, frisch, gekühlt oder gefroren	Y	
CP01171	Fresh or chilled vegetables other than potatoes and other tubers	Légumes frais ou réfrigérés, sauf pommes de terre et autres tubercules	Frisches oder gekühltes Gemüse außer Kartoffeln und anderen Knollengewächsen	Y	
CP01171A	Fresh carrots (1 kg)	Carottes fraîches (1 kg)	Frische Karotten (1 kg)	Y	
CP01171B	Fresh tomatoes, round (1 kg)	Tomates fraîches rondes (1 kg)	Frische Tomaten, rund (1 kg)	Y	
CP01172	Frozen vegetables other than potatoes and other tubers	Légumes surgelés, sauf pommes de terre et autres tubercules	Gefrorenes Gemüse außer Kartoffeln und anderen Knollengewächsen	Y	
CP01173	Dried vegetables, other preserved or processed vegetables	Légumes séchés, autres légumes en conserve ou transformés	Getrocknetes Gemüse, anders konserviertes oder verarbeitetes Gemüse	Y	
CP01173A	Tinned sweet corn (500 g/net)	Maïs doux en conserve (500 g/net)	Mais in Dosen (500 g/Nettogewicht)	Y	
CP01173B	Dried vegetables	Légumes séchés	Trockengemüse	Y	
CP01173C	Other preserved or processed vegetables	Légumes en conserve ou transformés	Anders konserviertes oder verarbeitetes Gemüse	Y	
CP01174	Potatoes	Pommes de terre	Kartoffeln	Y	
CP01174A	Potatoes (1 kg)	Pommes de terre (1 kg)	Kartoffeln (1 kg)	Y	
CP01174B	Frozen French fries (1 kg)	Frites congelées (1 kg)	Pommes frites, tiefgekühlt (1 kg)	Y	
CP01175	Crisps	Chips	Chips	Y	
CP01175A	Potato crisps, single pack (200 g)	Chips de pommes de terre, emballage unique (200 g)	Kartoffelchips, Einzelverpackung (200 g)	Y	
CP01176	Other tubers and products of tuber vegetables	Autres tubercules et produits issus de tubercules	Sonstige Knollengewächse und deren Erzeugnisse	Y	
CP0118	Sugar, jam, honey, chocolate and confectionery	Sucre, confitures, miel, chocolat et confiserie	Zucker, Marmelade, Honig, Schokolade und Süßwaren	Y	
CP01181	Sugar	Sucre	Zucker	Y	
CP01181A	White sugar (1 kg)	Sucre blanc (1 kg)	Weißer Zucker (1 kg)	Y	
CP01182	Jams, marmalades and honey	Confitures, marmelades et miel	Konfitüre, Marmelade und Honig	Y	
CP01182A	Jam (1 kg)	Confiture (1 kg)	Konfitüre (1 kg)	Y	
CP01183	Chocolate	Chocolats	Schokolade	Y	
CP01183A	Chocolate, milk (1 kg)	Chocolat au lait (1 kg)	Milchschokolade (1 kg)	Y	
CP01184	Confectionery products	Produits de confiserie	Süßwarenprodukte	Y	
CP01184A	Chewing gum (1 package)	Gomme à mâcher (1 paquet)	Kaugummi (1 Packung)	Y	
CP01185	Edible ices and ice cream	Glaces alimentaires et crèmes glacées	Speiseeis und Eiskrem	Y	
CP01185A	Ice cream (1 l)	Crème glacée (1 l)	Speiseeis (1 l)	Y	
CP01186	Artificial sugar substitutes	Succédané de sucre (sucrettes)	Künstliche Zuckeraustauschstoffe	Y	
CP01186A	Other sugar products	Autres produits à base de sucre	Sonstige Zuckerprodukte	Y	
CP0119	Food products n.e.c.	Produits alimentaires n.c.a.	Nahrungsmittel a.n.g.	Y	
CP01191	Sauces, condiments	Sauces, condiments	Soßen und Würzen	Y	
CP01191A	Tomato ketchup (1 kg)	Ketchup de tomates (1 kg)	Tomatenketchup (1 kg)	Y	
CP01192	Salt, spices and culinary herbs	Sel, épices et herbes culinaires	Salz, Gewürze und Küchenkräuter	Y	
CP01192A	Mineral salt (1 kg)	Sel minéral (1 kg)	Tafelsalz (1 kg)	Y	
CP01192B	Black pepper (100 g)	Poivre noir (100 g)	Schwarzer Pfeffer (100 g)	Y	
CP01193	Baby food	Aliments pour nourrissons	Babynahrung	Y	
CP01193A	Baby food, meat base (500 g)	Aliments pour nourrisson, à base de viande (500 g)	Babynahrung auf Fleischbasis (500 g)	Y	
CP01194	Ready-made meals	Plats cuisinés	Fertiggerichte	Y	
CP01199	Other food products n.e.c.	Autres produits alimentaires n.c.a.	Sonstige Nahrungsmittel, a.n.g.	Y	
CP01199A	Baker's yeast, dessert preparations, soups	Levure de boulanger, préparations pour dessert, soupes	Backhefe, Dessertzubereitungen, Suppen	Y	
CP012	Non-alcoholic beverages	Boissons non alcoolisées	Alkoholfreie Getränke	Y	
CP0121	Coffee, tea and cocoa	Café, thé, cacao	Kaffee, Tee und Kakao	Y	
CP01211	Coffee	Café	Kaffee	Y	
CP01211A	Coffee (1 kg)	Café (1 kg)	Kaffee (1 kg)	Y	
CP01212	Tea	Thé	Tee	Y	
CP01212A	Black tea (25 bags)	Thé noir (25 sachets)	Schwarzer Tee (25 Beutel)	Y	
CP01213	Cocoa and powdered chocolate	Cacao et chocolat en poudre	Kakao und Schokoladenpulver	Y	
CP01213A	Cocoa instant drink, powder (1 kg)	Boisson instantanée au cacao, en poudre (1 kg)	Kakaopulver für Instantgetränk (1 kg)	Y	
CP0122	Mineral waters, soft drinks, fruit and vegetable juices	Eaux minéralse, boissons rafraîchissantes, jus de fruits et de légumes	Mineralwasser, Erfrischungsgetränke, Obst- und Gemüsesäfte	Y	
CP01221	Mineral or spring waters	Eaux minérales ou de source	Mineral- oder Quellwasser	Y	
CP01221A	Mineral water, carbonated (1 l)	Eau minérale gazeuse (1 l)	Mineralwasser mit Kohlensäure (1 l)	Y	
CP01221B	Mineral water, still (1 l)	Eau minérale plate (1 l)	Mineralwasser, still (1 l)	Y	
